image_id,image_name,hex_colors,color_classes
46,instagram-icon-circle-vector-logo-400x400.png,"['#C2B59B', '#41312C', '#957D60', '#E7E0D6', '#737A7C', '#000000', '#654F46']","['grey_light', 'violett', 'brown', 'white', 'brown', 'black', 'grey_dark']"
47,instagram-icon-vector-logo-400x400.png,"['#D6C9B5', '#5D4D48', '#232E47', '#546469', '#3B241B']","['grey_light', 'grey_dark', 'violett', 'grey_dark', 'black']"
48,Instagram-logo-400x400.png,"['#D42F86', '#F05943', '#E23568', '#B531A3', '#873EAD', '#FCAB48', '#C62F95', '#F68738']","['pink_light', 'orange_dark', 'pink_light', 'pink_light', 'pink_dark', 'orange_light', 'pink_light', 'orange_dark']"
49,instagram-logo-vector-download-400x400.jpg,"['#FFFFFF', '#5B6CB2', '#D4436E', '#C32D87', '#F9B961', '#AF4590', '#8160A5']","['white', 'blue', 'pink_light', 'pink_light', 'yellow_dark', 'pink_dark', 'grey_light']"
50,kfc-new-vector-400x400.jpg,"['#FFFFFF', '#C51230', '#231F20']","['white', 'red_light', 'black']"
51,krc-genk-vector-logo-400x400.png,['#0D4991'],['blue_dark']
52,ks-alapaw-slawa-slawecin-vector-logo-400x400.png,"['#FFFFFF', '#000000', '#FF0000', '#4DAC27']","['white', 'black', 'red_light', 'green']"
53,lg-vector-logo-400x400.png,"['#C4024B', '#73797C', '#FFFFFF']","['red_dark', 'brown', 'white']"
54,lidl-vector-logo-400x400.png,"['#1B2F91', '#FFFF00']","['blue_dark', 'yellow_light']"
55,linkedin-logo-vector-download-400x400.jpg,"['#FFFFFF', '#007BB6']","['white', 'blue']"
56,mcdonald-vector-400x400.jpg,"['#FFFFFF', '#C52F30', '#F8AF25']","['white', 'red_light', 'orange_light']"
57,mit-logo-vector-download-400x400.jpg,"['#FFFFFF', '#DAABB3', '#FFE3EA', '#956670']","['white', 'grey_light', 'white', 'brown']"
58,mitsubishi-logo-vector.jpg,"['#FFFFFF', '#ED1B24']","['white', 'red_light']"
59,nike-logo-vector-download-400x400.jpg,"['#FFFFFF', '#231F20']","['white', 'black']"
60,prada-logo-vector-01.png,['#000000'],['black']
61,shell-logo-400x400.png,"['#FFF100', '#EC1C24', '#231F20']","['yellow_dark', 'red_light', 'black']"
62,shopify-logomark-logo.png,"['#95BF47', '#5E8E3E', '#FFFFFF']","['green', 'green', 'white']"
63,starbucks-coffee-eps-vector-logo-400x400.png,"['#00724E', '#FFFFFF', '#1D1D1B']","['blue_dark', 'white', 'black']"
64,suzuki-eps-vector-logo-400x400.png,['#FF0016'],['red_light']
65,tesla-motors-logo-vector-400x400.png,"['#D0D9DF', '#142733', '#768794']","['white', 'black', 'grey_light']"
66,tesla-vector-logo-400x400.png,"['#E31837', '#FFFFFF']","['red_light', 'white']"
67,twitter-logo.png,['#1DA1F2'],['blue_light']
68,under-armour-eps-vector-logo-400x400.png,['#000000'],['black']
69,unilever-logo-01.png,['#000000'],['black']
70,uniqlo-logo-preview-400x400.png,"['#EC1C24', '#FFFFFF', '#000000']","['red_light', 'white', 'black']"
71,versace-medusa-vector-logo-400x400.png,['#000000'],['black']
72,vespa-moto-vector-logo-400x400.png,['#312782'],['violett']
73,volkswagen-auto-eps-vector-logo-400x400.png,"['#00509F', '#FFFFFF']","['blue_dark', 'white']"
74,volvo-cars-vector-logo-400x400.png,"['#FFFFFF', '#28367B', '#808080', '#B1B1B1']","['white', 'blue_dark', 'brown', 'grey_light']"
75,warner-bros-black-vector-logo-400x400.png,['#000000'],['black']
76,wendys-logo-01.png,"['#DC163B', '#FCDAD7', '#342019', '#FFFFFF', '#9D022E']","['red_light', 'white', 'black', 'white', 'red_dark']"
